EmployeeID,EmployeeName,Gender,Age,Department,JobTitle,EducationLevel,City,Salary,ExperienceYears,PerformanceScore,LeavesTaken,ProjectsHandled,JoiningDate,Status,Attrition,WorkMode,Unnamed: 0
20053,Employee_395,,51,Marketing, Executive ,Bachelor,Chennai,,21,10,17,,2015-01-18,Resigned,Yes,,53
20054,Employee_564,Female,22,Operations,EXECUTIVE,Master,Ahmedabad,₹158985.32,24,8,29,9,16-07-2020,On Leave,No,On-site,54
20055,Employee_1477,Female,38,Engineering,Senior Engineer,Master,Pune,₹138822.52,33,,21,25,27/08/2024,On Leave,Yes,Hybrid,55
20056,Employee_1475,Male,30,Finance,Engineer,PhD,Pune,₹113333.25,24,6,14,,2024-11-10,,,hybrid,56
20057,Employee_1064,Male,59,Legal,Engineer,High School,Chennai,₹15041.18,0,6,14,8,25-05-2015,On Leave,Yes,on-site,57
20058,Employee_648,male,57,Sales,Engineer,,Noida,₹143792.02,26,9,20,8,14/07/2017,Resigned,No, Hybrid ,58
20059,Employee_1272,Male,48,FINANCE,Director,,Noida,,16,7,20,10,24-05-2021,Resigned,No,on-site,59
20060,Employee_1268,Female,60,legal,VP,PHD,Chennai,₹18453.27,0,4,15,15,2023-10-28,Resigned,,Hybrid,60
20061,Employee_447,Female,53, Engineering ,,Bachelor,Chennai,₹152464.86,22,6,16,8,12/02/2022,Terminated,Yes,On-site,61
20062,Employee_441,Female,42,Legal,Analyst,High School,Ahmedabad,₹249091.52,33,8,15,16,05-01-2018,On Leave,Yes,Remote,62
20063,Employee_1498,,33,Legal,Executive,High School,Mumbai,189187.92,34,,17,23,06/04/2024,Active,Yes,Hybrid,63
20064,Employee_1173,female,21,Finance,Manager,,Mumbai,₹20377.74,1,4,0,2,11/05/2023,On Leave,No,Hybrid,64
20065,Employee_1024,Male,,Marketing,Director,Bachelor,Noida,₹71439.00,7,3,4092,,02-11-2019,Resigned, Yes ,Hybrid,65
20066,Employee_573,Male,61,Finance,Director,Master,Kolkata,₹213427.22,-24,3,30,19,,Resigned,No, On-site ,66
20067,Employee_80,Male,27,Product,Intern, Master ,Ahmedabad,₹68624.36,7,4,12,3,31-10-2024,Resigned,NO,On-site,67
20068,Em@loyee_76,Female,50,Finance,Executive,Master,Hyderabad,₹188621.81,26,2,,14,2099-12-31,on leave,No,hybrid,68
20069,Employee_1098,Male,4095,Engineering,Analyst,bachelor,Hyderabad,,29,10,5,3,30/07/2019,TERMINATED,,ON-SITE,69
20070,Employee_99,Male,42,Product,executive,phd,Noida,₹79181.83,16,10,-8,9,2024-01-15,On Leave,No,On-site,70
20071,Employee_867,Male,29,Operations,Engineer,High School,Mumbai,₹31047.47,8,10,19,12,18/06/2021,Resigned,No,,71
20072,,female,50,Finance,VP,Bachelor,Mumbai,₹124010.95,26,2,28,21,01-09-2024,RESIGNED,No,Remote,72
20073,Employee_569,Male,56,Sales,,High School,Ahmedabad,₹19404.44,0,5,19,15,26/06/2018,,Yes,On-site,73
20074,Employee_1493,Male,59,Finance,Manager,Bachelor,Gurgaon,₹60401.02,7,10,22,24,2023-11-01,On Leave,No,On-site,74
20075,Employee_1159,Female,53,FINANCE,Senior Engineer, PhD ,Pune,22036.88,4,3,4,9,2024-05-26,On Leave,No, Remote ,75
20076,Employee_1388,Female,34,Product,intern,bachelor,Noida,₹125228.00,25,1,23,25,06-03-2016,On Leave,Yes,On-site,76
20077,  Employee_559  ,Male,45,Finance,Senior Analyst,High School,Chennai,₹71199.17,7,4,5,12,18-05-2016,,No,HYBRID,77
20078,Employee_517,Male,61,Marketing,Director,Master,Ahmedabad,,,2,12,4,2021/07/21,Resigned,Yes,Hybrid,78
20079,Employee_952,Male,54,HR,Intern, High School ,Chennai,₹26548.76,2,2,21,24,29/07/2023,Active,No,On-site,79
20080,Employee_901,Male,51,Operations,VP,Master,Kolkata,₹45820.88,4,5,9,7,2018-07-01,Active,No,Remote,80
20081,,Male,61,Product,senior engineer,Bachelor,No#da,₹38199.00,3,7,0,11,TBD,Terminated,Yes,,81
20082,Employee_33,Female,45,Product,Analyst,bachelor,Chennai,₹52069.79,9,4,15,9,,Active,Yes,REMOTE,82
20083,Employee_1440,Female,49,HR,Engineer,PhD,Kolkata,₹36098.96,3,8,21,17,2019-08-02,On Leave,No,On-site,83
20084,Employee_957,Male,26,product,VP, High School ,Pune,₹74991.53,18,9,24,19,12/11/2021,RESIGNED,No,Remote,84
20085,Employee_558,Male,49, Sales ,Analyst,PhD,Ah@edabad,₹54148.20,-5,4,2,2070,16-08-2016,ON LEAVE,No,Remote,85
20086,Employee_865,Male,34,HR,VP,Master,Hyderabad,₹89661.29,16,6,15,7,2018/03/02,Active,,,86
20087,Employee_355,,30,HR, Engineer ,BACHELOR,Hyderabad,₹27691.88,1,7,29,24,09/01/2020,Terminated,,Hybrid,87
20088,Employee_188,,48,Sales,Intern,Master,Hyderabad,₹33450.85,9,4,15,14,2022-02-22,On Leave,No,Remote,88
20089,Employee_1476,MALE,50,HR,,PhD,,₹30656.28,2,2,21,24,28/08/2020,Terminated,NO,Remote,89
20090,Employee_1252,Male,36,SALES,senior analyst,Bachelor,Ba#galore,₹276863.25,33,5,20,20,03-10-2016,Terminated,no,hybrid,90
20091,Employee_207,Female,22,Finance,,Master,Pune,₹229633.69,35,6,17,20,2024/02/24,Active,No,Hybrid,91
20092,Employee_1372,Male,35,HR,Senior Analyst,phd,Kolkata,₹79812.99,19,6,2,,2023/04/11,RESIGNED,yes,Remote,92
20093,Employee_658,Female,51,,Senior Engineer,Master,Kolkata,85477.89,13,6,29,14,2023-09-26,RESIGNED,No,On-site,93
20094,Employee_974,Male,26,Operations,manager,Bachelor,Delhi,₹74996.72,24,1,21,24,16-10-2021,On Leave,No,HYBRID,94
20095,Employee_1272,Male,30,Sales,,Master,Mumbai,₹164429.96,,3,5,7,12-09-2023,Resigned,no,On-site,95
20096,Employee_777,Female,38,Engineering,senior manager,Bachelor,,161250.88,30,6,5,1,2015/05/11,Terminated,No,Hybrid,96
20097,Employee_5,Male,24,Marketing,Executive,Master,Pune,₹27041.01,1,5,19,5,2022-10-24,On Leave,yes,Hybrid,97
20098,  Employee_1443  ,Female,37,Product,Senior Analyst,Bachelor,Delhi,69823.25,,5,4,25,10/11/2023,Terminated,No,On-site,98
20099,Employee_928,Female,39,Legal,Senior Manager,PhD,,₹187776.98,23,6,139,3,2020/04/22,On Leave,Yes,On-site,99
20100,Employee_422,FEMALE,51,Sales,Engineer,High School,Chennai,₹175878.49,26,6,3,25,2021-10-23,Resigned,No,HYBRID,100
20101,Employee_134,female,33,Engineering,Manager,Bachelor,Ko@kata,₹55799.32,8,10,17,14,29-12-2020,resigned,Yes,on-site,101
20102,Employee_1383,Female,38,Marketing,VP,Bachelor,Hyderabad,₹179891.93,23,1,30,16,2015-04-26, Terminated ,Yes,Hybrid,102
20103,Employee_1137,Female,22,HR,Senior Engineer,,Bangalore,60408.18,8,3,18,13,2020-06-22,On Leave,No,Hybrid,103
20104,Employee_614,Male,44,Product,Intern,BACHELOR,Pune,₹273837.83,35,7,1,9,2021-10-23,On Leave,Yes,Remote,104
20105,Employee_272,male,25,Sales,Director,Bachelor,Ahmedabad,,27,5,-25,3,28-05-2020,On Leave, No ,Remote,105
20106,Employee_739,Male,31,Finance,executive,High School,Bangalore,₹126947.07,3620,5,22,7,2018-06-04, On Leave ,No,Remote,106
20107,,Female,54,hr,director,bachelor,  Kolkata  ,69135.92,11,3,18,0,30-08-2023, On Leave ,No,Remote,107
20108,Employee_49,Female,24,HR,Senior Engineer,,Pune,₹179451.87,27,1,16,13,2022-02-11,Terminated,Yes,Hybrid,108
20109,Employee_912,MALE,62,MARKETING,Director,Master,Mumbai,₹168769.84,25,4,2,20,24-10-2015,,No,Remote,109
20110,Employee_140,male,25,Finance,VP,Bachelor,Gurgaon,₹30622.61,3,1,0,19,N/A,Active,NO, Hybrid ,110
20111,  Employee_1321  ,Male,45,Legal,,PhD,Hyderabad,₹36678.56,6,5,1,18,2022-08-19,On Leave,No,REMOTE,111
20112,Employee_10,Male,57,HR,Senior Engineer,,Gurgaon,₹159987.52,31,4,1,17,2018/01/24,On Leave,No,On-site,112
20113,Employee_26,Male,28,Finance,Analyst,PhD,Ahmedabad,₹119278.30,16,8,16,23,2016-08-19,On Leave,No,On-site,113
20114,  Employee_183  ,Male,51,Finance,Director,Master,Ch#nnai,₹54772.10,9,3,12,3,2016-10-23,On Leave,No,On-site,114
20115,Employee_467,Male,51,Sales,VP,High School,Kolkata,₹277123.63,32,4,3,11,15-01-2022,,No,hybrid,115
20116,Employee_795,Male,39,Legal,Intern,High School,Pune,₹198610.31,30,9,21,19,19/06/2020,Active, No ,Remote,116
20117,Employee_509,Female,22,HR,Senior Analyst,,  Noida  ,40459.45,3,6,24,10,2020/11/23,On Leave,Yes,Hybrid,117
20118,,,24,Product,Senior Engineer,High School,Pune,₹166925.94,31,4,-25,12,2022/03/13,Terminated,Yes,On-site,118
20119,Employee_240,Male,48,Finance,VP,PhD,Bangalore,,25,2,13,23,10-11-2024, Terminated ,No, On-site ,119
20120,Employee_506,Female,,product,Engineer,Master,Noida,83725.84,12,1,12,13,2017-08-16,Terminated,No,On-site,120
20121,Employee_1420,Female,21, Marketing ,engineer,High School,Noida,₹134389.02,14,5,28,17,2015-09-04,Terminated,,Remote,121
20122,Employee_651,Female,22,Engineering,SENIOR ANALYST,PhD,Mumbai,₹24282.04,2,,28,11,27/03/2021,ON LEAVE,NO,Hybrid,122
20123,Employee_1267,Male,25,Marketing,Senior Engineer,High School,Ahmedabad,₹55656.48,15,9,903,14,05/04/2019,On Leave,No,on-site,123
20124,Employee_891,female,39,Legal,DIRECTOR,Bachelor,Mumbai,₹46686.86,4,9,29,21,2017/10/22,On Leave,Yes,Hybrid,124
20125,Employee_193,Male,51,Marketing,Director,High School,Ah#edabad,₹113607.23,28,2,11,22,2022/09/09,Active,Yes,,125
20126,Employee_309,Male,32,Legal,VP,Master,Pune,₹125516.50,35,7,17,22,,resigned,yes,Hybrid,126
20127,Employee_301,Male,45,Engineering,VP,MASTER,Noida,25785.6,2,7,28,7,2023/12/27,Resigned,No,Remote,127
20128,Employee_1311,Female,62,hr,Director,MASTER,Mumbai,₹118537.70,35,4,19,13,N/A,Active,No,Remote,128
20129,Em@loyee_208,Male,59,ENGINEERING,Manager,Master,Bangalore,₹234483.74,31,9,23,16,19-01-2019,Terminated, Yes ,Remote,129
20130,Employee_696,Female,25,HR,Director,High School,Gurgaon,₹83845.40,-20,3,16,5,26-11-2016,Terminated,No,Remote,130
20131,Employee_280,MALE,22,,analyst,phd,Bangalore,₹107285.14,24,10,8,13,21-09-2016,Terminated,,ON-SITE,131
20132,Employee_1265,Female,21,engineering, Analyst ,phd,Noida,₹79595.28,17,4,22,13,2015/06/10,terminated,Yes,Hybrid,132
20133,Employee_97,Male,36,Product,VP,Master,Mumbai,₹90315.57,10,1,22,8,01-12-2020,Active,Yes,Hybrid,133
20134,Employee_608,FEMALE,54,Sales,EXECUTIVE,Bachelor,  Pune  ,₹181312.27,27,-3,9,12,2017-01-11,Terminated, Yes ,Remote,134
20135,Employee_1283,,61,Operations, Senior Analyst ,,Noida,₹128350.95,21,5,23,18,10-12-2019,Active,Yes,hybrid,135
20136,Employee_1068,,-37,MARKETING,analyst,bachelor,Kolkata,₹169398.17,27,5,9,10,2019/12/15,,No,hybrid,136
20137,Employee_1300,Female,55,ENGINEERING,Intern,Master,  Ahmedabad  ,₹194323.32,32,7,1,12,2020-05-28,Terminated,No,Remote,137
20138,Employee_1344,Female,49,Engineering,Analyst,PhD,Delhi,,0,1,28,20,2022/11/01,Terminated,No,Remote,138
20139,,Male,23,Legal,DIRECTOR,,  Pune  ,₹80627.59,14,7,29,7,2022/03/04,,Yes,Hybrid,139
20140,Employee_430,Female,42,finance,, Bachelor ,Mu@bai,₹170461.45,20,5,23,14,28/08/2015,Resigned,YES,Remote,140
20141,Employee_171,Female,58,Operations,Senior Analyst,HIGH SCHOOL,Noida,₹56090.22,12,2,30,1,06-03-2021,On Leave, No ,On-site,141
20142,Employee_758,Female,31,Product,Director,High School,Hyderabad,₹33963.35,5,7,4,8,01/06/2015,On Leave,No,Hybrid,142
20143,Employee_949,MALE,55,Product,senior manager,BACHELOR,Hy#eraba#,₹157658.90,19,6,10,22,2020-08-31,RESIGNED,yes,Hybrid,143
20144,Employee_1494,MALE,23,,Manager,PhD,Noida,₹121918.69,15,1,,13,2020-06-09,resigned,Yes,Hybrid,144
20145,Employee_25,,46,Product, Manager ,master,Mumbai,₹94756.11,24,8,8,12,2015-12-07,active,No,HYBRID,145
20146,Em@loyee_1006,Female,58,Product,Manager,PhD,Mu@bai,₹159986.48,33,7,21,20,2023-03-10,,no,Remote,146
20147,Employee_233,Female,52,,Executive,phd,Delhi,₹261419.68,33,,21,1,2020/01/22,Resigned,Yes,Remote,147
20148,Employee_317,FEMALE,46,Sales,manager,Bachelor,Chennai,136330.24,30,2,,14,08/02/2023,Terminated,No,On-site,148
20149,Employee_1323,Male,38,Sales, Executive ,Master,Chennai,₹103807.03,19,9,15,6,2015-01-19,Active,no,Hybrid,149
20150,Employee_985,Female,53,Finance,Director,Master,Hyderabad,₹39455.41,8,6,28,1,2016-04-23,active,No,,150
20151,Em@loyee_496,Female,58,,Engineer,High School,Gurgaon,₹171550.57,24,,1,18,24/12/2019,Active,Yes,Hybrid,151
20152,  Employee_1276  ,male,24,Engineering, Senior Manager ,High School,Delhi,₹81892.51,12,8,10,15,2020/09/07,Terminated,,On-site,152
20153,,female,56,HR,Senior Engineer,Bachelor,Kolkata,₹145238.23,18,6,1278,21,28-02-2016, Resigned ,No,Remote,153
20154,Employee_409,Female,43,HR,,Master,Delhi,₹102342.59,27,7,29,25,09/05/2019,Terminated,YES,Hybrid,154
20155,Employee_701,,60,Finance,,,Bangalore,59477.01,8,1,17,,2020/12/14,terminated,No,Hybrid,155
20156,Employee_846,MALE,38, Marketing ,Manager,High School,Mumbai,₹198488.28,-24,8,9,5,2016/04/24,Active,No,remote,156
20157,Employee_1085,Female,53,Marketing,manager,Master,Pune,₹17242.23,0,,13,25,15/04/2020,Terminated,Yes,Remote,157
20158,Employee_58,Female,45,legal,Executive,Master,Gurgaon,₹89989.18,14,10,16,17,04-02-2020,Resigned,Yes,On-site,158
20159,Employee_1307,Female,40,Operations,Manager,Bachelor,Mumbai,₹128751.29,17,10,264,7,2018-01-26,Resigned,No,Remote,159
20160,Employee_603,Female,31,Product,Executive,High School,  Hyderabad  ,₹120429.89,13,10,28,19,2016/06/20,terminated,no,On-site,160
20161,Employee_634,Male,22,Engineering,DIRECTOR,,Hyderabad,₹47315.62,8,,2622,9,06/02/2019,ON LEAVE,Yes,Hybrid,161
20162,Em#loyee_955,Male,34,hr,Engineer,Master,Pune,₹88313.76,13,7,21,21,2017-10-06,ACTIVE,yes,Hybrid,162
20163,Employee_849,Female,59,marketing,VP,High School,Ba@galore,₹128851.31,15,6,2277,7,17/09/2022,Terminated,No,On-site,163
20164,Employee_83,Female,54,Marketing,Intern, PhD ,Hyderabad,₹64486.42,,-10,15,7,06-12-2023,on leave,Yes, Remote ,164
20165,Employee_1064,Female,54,Operations, Manager ,Bachelor,Chennai,₹27502.97,-1,2,19,6,2022/03/18,On Leave,No,Remote,165
20166,Employee_681,Male,24,,DIRECTOR,High School,Bangalore,₹21920.23,0,1,2,386,01/06/2024,Active,Yes,On-site,166
20167,  Employee_1137  , Female ,,Sales,,High School,Pune,₹103647.83,22,10,-23,11,2022-12-25,resigned,No,remote,167
20168,Employee_1427,Female,57,Sales,Director,bachelor,Mumbai,₹53609.26,14,5,6,8,17/04/2023,On Leave,Yes,On-site,168
20169,Employee_594,Female,47,Product,Senior Engineer,master,Kolkata,₹77730.38,22,7,23,23,2020/02/04,On Leave,Yes,Hybrid,169
20170,Employee_155,Female,21,product, Director ,high school,Gurgaon,,3249,2,8,18,05/12/2023,Resigned,Yes,Remote,170
20171,  Employee_166  ,Female,50,Engineering,vp,High School,Hyderabad,₹107166.15,13,4,16,15,2024-09-26,Terminated,,Remote,171
20172,Employee_506,Male,, Marketing ,Executive,High School,Hyderabad,₹144273.38,-28,3,18,19,09-08-2018,,YES,,172
20173,Employee_1240,Male,61,Operations,Executive,Master,Noida,₹90899.92,23,1,6,1,04-02-2022,Resigned,No,Hybrid,173
20174,,Female,53,Product,Senior Engineer,high school,Chennai,₹45049.28,6,2,30,22,2017-01-22,Terminated,No,Remote,174
20175,Employee_344,Male,,Product,Engineer,high school,Hyderabad,₹30955.80,2,1,26,4,10/04/2017,RESIGNED,no,Hybrid,175
20176,Em@loyee_897,Male,-40,Product,SENIOR ANALYST,Bachelor,Hyderabad,₹123942.28,16,9,29,17,2019-11-14,On Leave,No,Hybrid,176
20177,Employee_1060,Male,58,engineering,Executive,PhD,Bangalore,₹58072.71,11,7,26,13,26-09-2020,Resigned,No,Hybrid,177
20178,Employee_87,MALE,51,Product,Senior Analyst,Master,Bangalore,₹102897.49,11,,8,10,2017/10/03,Terminated,No,remote,178
20179,Employee_9,FEMALE,27,Legal,Senior Manager,Master,Delhi,,27,7,30,6,2020/07/27,Terminated,No,On-site,179
20180,Employee_300,Female,35,Legal,VP,High School,Bangalore,₹136171.83,29,6,15,17,29-03-2018,ON LEAVE,Yes,On-site,180
20181,Employee_1256,Male,44,Finance,Intern,PhD,Kolkata,₹143120.89,30,5,24,0,02-02-2015,On Leave,No,,181
20182,,male,22,Product,Senior Engineer,Master,,₹78955.74,23,4,30,13,2020/06/09,,Yes,hybrid,182
20183,Employee_876,female,34,engineering,intern,Bachelor,Chennai,₹23522.69,0,2,16,15,,Terminated,No,Remote,183
20184,Employee_1151,Male,44,sales,VP,Master,Pune,₹79694.38,12,6,17,24,2019-09-24,Resigned,No,Hybrid,184
20185,Employee_1211,FEMALE,52,Sales,Senior Engineer,High School,Gurgaon,₹183655.22,24,7,6,5,2022-07-27,Resigned,Yes,Remote,185
20186,Employee_1107,Female,47,LEGAL,Senior Analyst, Master ,Ba#galore,₹139023.16,30,5,28,10,09-11-2017, On Leave ,No,Hybrid,186
20187,Employee_324,,42,Finance,VP,Master,Noida,₹82636.66,13,5,10,22,2022-05-14,On Leave,Yes,on-site,187
20188,  Employee_1377  ,Male,28,Sales,VP,Bachelor,Delhi,,32,8,27,10,2020-04-15,On Leave,No,Remote,188
20189,Employee_255,Male,9333,Operations,EXECUTIVE,High School,Gurgaon,₹182450.58,35,2,2,7,23-12-2024,On Leave,Yes,Hybrid,189
20190,Employee_1125,Female,53, Engineering ,,,Pune,₹44504.89,6,3,-16,23,01-01-2017,terminated, No ,On-site,190
20191,Employee_29, Female ,39,Engineering,VP,Master,Ahmedabad,₹24138.32,2,3,28,4,2017/09/07,Active,Yes,Remote,191
20192,Employee_1498,Female,56,Legal,Analyst,Master,Bangalore,150049.91,31,2,11,17,26/09/2023,Resigned,Yes,Hybrid,192
20193,Employee_468,Male,31,Marketing,Senior Manager,High School,Pune,₹146687.45,18,7,2,22,2020-10-23,Terminated, No ,On-site,193
20194,Employee_280,Female,60,Legal,Senior Manager,,Delhi,₹19789.84,0,4,27,18,2023-08-11,Terminated,Yes,hybrid,194
20195,Employee_431,Female,54,Marketing,Analyst,PhD,Gurgaon,₹29263.18,5,10,0,25,2020-09-18,ON LEAVE,no,on-site,195
20196,Employee_469,Female,61,Operations,Senior Engineer, Bachelor ,Delhi,₹87614.89,13,5,16,10,N/A,Resigned,Yes,On-site,196
20197,Employee_1247,Male,-59,PRODUCT,Analyst,Bachelor,,₹218162.43,33,9,22,5,28/01/2021,Terminated,No,ON-SITE,197
20198,Employee_302,Male,-25,Operations,,,Pune,₹85524.43,19,9,0,4,2023/01/27,resigned,YES,On-site,198
20199,Employee_710,Male,62,Legal,Intern,phd,Noida,₹25085.07,3,1,15,22,2020-08-19,On Leave,No,On-site,199
20200,Employee_241,male,43,HR,Senior Analyst,Master,,₹115695.66,13,4,4,18,23-12-2018,active,No,On-site,200
20201,Employee_1336,Male,33,Sales,Executive,Bachelor,Ch#nnai,,7,1,30,1,01/07/2021,Active,No,Hybrid,201
20202,Employee_1119,Female,57,operations,senior manager,BACHELOR,Pune,₹33979.31,6,10,-7,22,2016-08-24,Active,Yes,Hybrid,202
20203,Employee_76,male,23,Legal,Engineer,,Delhi,₹66332.60,18,8,,,29/12/2023,Terminated,No,Remote,203
